Trace1,
Freq,,Amp,,
            94735857,Hz,              -63.05, dBm,
            95331680,Hz,              -62.18, dBm,
            95927503,Hz,              -65.46, dBm,
            96523326,Hz,              -62.79, dBm,
            97119149,Hz,              -64.23, dBm,
            97714972,Hz,              -65.14, dBm,
            98310795,Hz,              -63.02, dBm,
            98906618,Hz,              -63.38, dBm,
            99502441,Hz,              -63.49, dBm,
           100098264,Hz,              -63.22, dBm,
           100694087,Hz,              -62.85, dBm,
           101289910,Hz,              -64.04, dBm,
           101885733,Hz,              -64.56, dBm,
           102481556,Hz,              -64.27, dBm,
           103077379,Hz,              -63.21, dBm,
           103673202,Hz,              -63.40, dBm,
           104269025,Hz,              -62.90, dBm,
           104864848,Hz,              -64.69, dBm,
           105460671,Hz,              -63.74, dBm,
           106056494,Hz,              -63.50, dBm,
           106652317,Hz,              -63.17, dBm,
           107248140,Hz,              -65.48, dBm,
           107843963,Hz,              -62.67, dBm,
           108439786,Hz,              -63.41, dBm,
           109035609,Hz,              -61.98, dBm,
           109631432,Hz,              -63.65, dBm,
           110227255,Hz,              -63.52, dBm,
           110823078,Hz,              -62.62, dBm,
           111418901,Hz,              -63.63, dBm,
           112014724,Hz,              -61.38, dBm,
           112610547,Hz,              -62.03, dBm,
           113206370,Hz,              -63.22, dBm,
           113802193,Hz,              -63.84, dBm,
           114398016,Hz,              -63.49, dBm,
           114993839,Hz,              -62.55, dBm,
           115589662,Hz,              -65.59, dBm,
           116185485,Hz,              -63.26, dBm,
           116781308,Hz,              -62.37, dBm,
           117377131,Hz,              -64.71, dBm,
           117972954,Hz,              -63.34, dBm,
           118568777,Hz,              -63.71, dBm,
           119164600,Hz,              -58.14, dBm,
           119760423,Hz,              -58.03, dBm,
           120356246,Hz,              -58.13, dBm,
           120952069,Hz,              -58.58, dBm,
           121547892,Hz,              -59.04, dBm,
           122143715,Hz,              -61.35, dBm,
           122739538,Hz,              -61.22, dBm,
           123335361,Hz,              -64.72, dBm,
           123931184,Hz,              -64.44, dBm,
           124527007,Hz,              -65.23, dBm,
           125122830,Hz,              -63.41, dBm,
           125718653,Hz,              -63.59, dBm,
           126314476,Hz,              -63.82, dBm,
           126910299,Hz,              -61.45, dBm,
           127506122,Hz,              -62.77, dBm,
           128101945,Hz,              -59.84, dBm,
           128697768,Hz,              -63.32, dBm,
           129293591,Hz,              -63.53, dBm,
           129889414,Hz,              -63.59, dBm,
           130485237,Hz,              -63.03, dBm,
           131081060,Hz,              -62.40, dBm,
